City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,flin flon,54.7682,-101.865,295.06,56,75,5.14,CA,1691256363
145,fraserburgh,57.6874,-2.0184,287.83,64,100,2.63,GB,1691256363
146,saldanha,-33.0117,17.9442,286.18,88,93,3.66,ZA,1691256363
147,anadyr,64.75,177.4833,284.43,87,75,9.0,RU,1691256364
148,ayr,55.4627,-4.6339,288.14,82,20,3.6,GB,1691256364
149,susuman,62.7833,148.1667,278.73,76,27,1.1,RU,1691256364
150,taishan,22.2514,112.7799,300.07,87,77,2.42,CN,1691256207
151,ambovombe,-25.1667,46.0833,292.35,63,0,8.14,MG,1691256365
152,san patricio,28.017,-97.5169,309.12,40,20,6.03,US,1691256365
153,salinas,36.6777,-121.6555,296.23,84,100,2.57,US,1691256183
154,garissa,-0.4536,39.6401,301.01,47,93,10.38,KE,1691256365
155,east london,-33.0153,27.9116,291.67,59,0,2.57,ZA,1691256366
156,igrim,63.1906,64.4162,297.61,52,51,2.02,RU,1691256366
157,wajir,1.7471,40.0573,301.06,50,100,8.64,KE,1691256366
158,atafu village,-8.5421,-172.5159,300.88,79,51,4.96,TK,1691256366
159,gobabis,-22.45,18.9667,291.26,23,0,5.05,NA,1691256367
160,bilibino,68.0546,166.4372,277.64,94,100,2.51,RU,1691256367
161,minab,27.1467,57.0801,305.81,66,26,3.02,IR,1691256367
162,tamanrasset,22.785,5.5228,306.1,24,40,3.6,DZ,1691256368
163,pavilosta,56.8879,21.1859,292.1,79,100,1.94,LV,1691256368
164,enewetak,11.3474,162.3373,301.37,78,81,5.82,MH,1691256368
165,puerto ayora,-0.7393,-90.3518,302.13,90,42,4.02,EC,1691256369
166,inari,68.906,27.0288,285.26,94,100,2.39,FI,1691256369
167,akureyri,65.6835,-18.0878,285.11,82,75,4.12,IS,1691256369
168,taounate,34.5,-4.8333,316.48,13,0,1.58,MA,1691256369
169,plymouth,41.8334,-70.8328,303.02,66,75,4.63,US,1691256370
170,ghat,24.9647,10.1728,314.66,7,0,5.09,LY,1691256370
171,jiangyou,31.7667,104.7167,297.71,89,25,1.82,CN,1691256370
172,cimitarra,6.3142,-73.9497,308.07,44,18,1.54,CO,1691256371
173,cuenca,-2.8833,-78.9833,291.22,55,75,5.14,EC,1691256371
174,mil'kovo,55.6078,37.7956,300.37,57,14,0.82,RU,1691256371
175,essaouira,31.5125,-9.77,299.87,69,20,3.09,MA,1691256371
176,prince george,53.9166,-122.753,294.96,56,0,2.06,CA,1691256138
177,weno,7.4515,151.8468,300.12,89,100,3.09,FM,1691256372
178,lent'ekhi,42.7856,42.7261,295.61,85,7,1.86,GE,1691256372
179,aketi,2.7388,23.7833,296.27,93,95,0.96,CD,1691256372
180,tabou,4.423,-7.3528,298.36,80,100,4.61,CI,1691256373
181,cambria,35.5641,-121.0808,299.49,48,0,4.04,US,1691256373
182,chabahar,25.2919,60.643,300.54,83,14,4.62,IR,1691256373
183,hasaki,35.7333,140.8333,300.54,88,0,5.27,JP,1691256373
184,lander,42.833,-108.7307,296.54,49,0,1.54,US,1691256374
185,shenjiamen,29.9576,122.298,299.51,93,35,4.31,CN,1691256374
186,kapuskasing,49.4169,-82.4331,295.15,43,75,1.03,CA,1691256374
187,faya-largeau,17.9257,19.1043,307.97,40,5,4.89,TD,1691256375
188,mucumpiz,8.4167,-71.1333,292.77,72,66,2.63,VE,1691256375
189,praia da vitoria,38.7333,-27.0667,299.29,69,20,3.5,PT,1691256375
190,santa cruz,-17.8,-63.1667,306.18,38,20,6.69,BO,1691256226
191,whitehorse,60.7161,-135.0538,291.58,53,75,6.17,CA,1691256376
192,anna regina,7.2644,-58.5077,303.56,62,59,3.4,GY,1691256376
193,sale,34.0389,-6.8166,307.95,35,1,6.17,MA,1691256376
194,gadzhiyevo,69.2551,33.3362,284.08,93,100,6.98,RU,1691256376
195,haiku-pauwela,20.9219,-156.3051,298.17,72,20,4.63,US,1691256377
196,broken hill,-31.95,141.4333,279.43,75,0,4.81,AU,1691256377
197,chilliwack,49.1747,-121.9443,296.48,70,93,2.68,CA,1691256377
198,badger,64.8,-147.5333,292.49,77,100,2.57,US,1691256378
199,manicore,-5.8092,-61.3003,307.12,55,40,2.06,BR,1691256378
200,geraldton,-28.7667,114.6,282.38,93,90,1.54,AU,1691256378
201,turkestan,43.3333,68.25,303.67,22,31,5.83,KZ,1691256379
202,harper,4.375,-7.7169,298.27,81,100,5.1,LR,1691256379
203,jiuquan,39.7432,98.5174,299.22,28,37,0.66,CN,1691256379
204,ola,59.5833,151.2833,284.5,66,99,2.86,RU,1691256380
205,alofi,-19.0595,-169.9187,296.09,94,98,2.06,NU,1691256380
206,zahedan,29.4963,60.8629,305.1,14,0,2.06,IR,1691256380
207,mabaruma,8.2,-59.7833,306.64,50,99,2.39,GY,1691256381
208,qaqortoq,60.7167,-46.0333,281.46,74,4,3.09,GL,1691256381
209,ust-nera,64.5667,143.2,285.43,57,88,1.36,RU,1691256381
210,iskateley,67.6803,53.1512,295.08,72,89,3.57,RU,1691256381
211,mineros,-17.1167,-63.2333,308.65,18,0,3.95,BO,1691256382
212,qarqaraly,49.4058,75.4742,290.3,80,55,2.94,KZ,1691256382
213,yugorsk,61.3133,63.3319,292.45,89,99,2.22,RU,1691256382
214,phan rang-thap cham,11.5667,108.9833,299.21,75,40,2.76,VN,1691256382
215,kutum,14.2,24.6667,299.72,55,76,4.0,SD,1691256317
216,'ain el turk,35.7438,-0.7693,305.65,51,0,6.17,DZ,1691256383
217,bikenibeu village,1.3673,173.1241,301.13,78,40,3.09,KI,1691256383
218,punta arenas,-53.15,-70.9167,277.55,93,100,11.76,CL,1691256384
219,rio grande,-32.035,-52.0986,292.21,60,0,3.74,BR,1691256384
220,pons,45.5799,-0.5478,293.12,93,75,7.2,FR,1691256384
221,rawson,-43.3002,-65.1023,286.49,34,41,5.99,AR,1691256295
222,palikir - national government center,6.9248,158.1611,297.56,94,100,1.03,FM,1691256385
223,fisterra,42.9049,-9.2629,299.12,85,3,8.43,ES,1691256385
224,altai,46.3722,96.2583,289.11,40,39,1.58,MN,1691256385
225,obuase,6.206,-1.6619,298.52,86,81,1.9,GH,1691256385
226,kuanda,56.3161,116.0806,292.16,54,100,2.41,RU,1691256386
227,aykhal,66.0,111.5,285.23,65,80,8.62,RU,1691256386
228,cidreira,-30.1811,-50.2056,291.8,85,62,3.26,BR,1691256386
229,nikolayevsk-on-amure,53.1406,140.73,284.4,77,85,0.96,RU,1691256254
230,vilhena,-12.7406,-60.1458,307.27,29,40,1.03,BR,1691256387
231,heroica zitacuaro,19.4,-100.3667,293.89,68,80,1.89,MX,1691256387
232,krivyanskaya,47.3963,40.1662,308.67,31,0,5.08,RU,1691256387
233,hanchuan,30.65,113.7667,304.21,73,0,1.61,CN,1691256088
234,lihue,21.9789,-159.3672,299.92,80,75,4.63,US,1691256243
235,bubaque,11.2833,-15.8333,301.07,76,98,2.48,GW,1691256388
236,ulsan,35.5372,129.3167,299.21,85,0,1.17,KR,1691256388
237,mar del plata,-38.0023,-57.5575,286.45,65,75,6.17,AR,1691256388
238,saint-louis du nord,19.9333,-72.7167,303.36,71,9,6.07,HT,1691256389
239,sohbatpur,28.5202,68.5434,312.05,30,5,4.58,PK,1691256389
240,dolinsk,47.35,142.8,286.12,91,98,0.94,RU,1691256389
241,labasa,-16.4167,179.3833,295.44,94,93,2.02,FJ,1691256390
242,novyy urgal,51.0736,132.5642,284.06,73,25,0.8,RU,1691256390
243,zyryanskoye,56.8306,86.6258,284.41,72,0,3.05,RU,1691256390
244,okhotsk,59.3833,143.3,287.69,61,52,2.76,RU,1691256391
245,tobol'sk,58.2,68.2667,290.5,94,98,2.27,RU,1691256391
246,mushie,-3.0167,16.9,305.19,27,2,0.97,CD,1691256391
247,inirida,3.8653,-67.9239,304.13,65,75,0.58,CO,1691256391
248,lengshuijiang,27.6881,111.4294,302.34,73,51,0.41,CN,1691256392
249,payson,40.0444,-111.7321,298.66,45,40,3.6,US,1691256392
250,keflavik,64.0049,-22.5624,287.1,88,75,6.17,IS,1691256392
251,wailua homesteads,22.0669,-159.378,299.59,86,75,4.63,US,1691256392
252,olonkinbyen,70.9221,-8.7187,276.63,93,100,10.4,SJ,1691256393
253,port hedland,-20.3167,118.5667,294.18,40,40,4.63,AU,1691256393
254,broome,42.2506,-75.833,299.65,66,40,1.34,US,1691256393
255,ingeniero jacobacci,-41.3427,-69.5448,282.54,29,90,2.56,AR,1691256394
256,irtyshsk,53.3333,75.4572,293.33,84,100,1.49,KZ,1691256394
257,wanning,18.8003,110.3967,301.34,74,100,6.53,CN,1691256394
258,alekseyevskoye,55.3071,50.1135,297.24,58,60,3.57,RU,1691256394
259,daru,-9.0763,143.2092,296.93,81,79,6.41,PG,1691256395
260,gulf shores,30.246,-87.7008,309.58,63,20,5.14,US,1691256395
261,mahdia,35.5047,11.0622,303.12,40,0,11.28,TN,1691256395
262,vorkuta,67.5,64.0,292.17,53,0,3.29,RU,1691256396
263,longyearbyen,78.2186,15.6401,284.06,87,75,4.63,SJ,1691256396
264,novodzhereliyevskaya,45.7737,38.6723,305.84,26,0,4.42,RU,1691256396
265,buloh kasap,2.5536,102.764,297.94,92,13,1.82,MY,1691256396
266,tazacorte,28.629,-17.9293,297.69,78,20,7.72,ES,1691256397
267,minas de marcona,-15.2119,-75.1103,291.72,53,14,2.65,PE,1691256397
268,al ghayzah,16.2079,52.176,299.91,80,64,4.85,YE,1691256397
269,lodja,-3.4833,23.4333,302.79,30,23,1.1,CD,1691256398
270,dakhla,23.6848,-15.958,298.16,65,0,10.29,EH,1691256398
271,trail,49.0998,-117.7022,302.58,32,94,0.38,CA,1691256398
272,alice town,25.7167,-79.3,302.66,72,53,4.02,BS,1691256398
273,copala,16.65,-98.9833,304.19,57,91,1.79,MX,1691256399
274,muroto-misakicho,33.2833,134.15,300.45,85,7,4.45,JP,1691256399
275,pelabuhanratu,-6.9875,106.5514,297.66,88,32,1.75,ID,1691256399
276,ivdel',60.6911,60.4206,291.6,92,73,1.21,RU,1691256399
277,bengkulu,-3.8004,102.2655,297.68,89,8,2.47,ID,1691256400
278,horta,38.5333,-28.6333,297.95,73,40,6.69,PT,1691256400
279,vadso,70.0744,29.7487,286.24,82,75,1.03,NO,1691256400
280,smara,26.7384,-11.6719,305.01,26,0,8.13,EH,1691256400
281,new norfolk,-42.7826,147.0587,282.43,88,97,1.45,AU,1691256401
282,mitchell,43.7094,-98.0298,299.12,88,75,3.6,US,1691256401
283,margaret river,-33.95,115.0667,281.97,82,100,1.75,AU,1691256402
284,nova sintra,14.8667,-24.7167,295.98,79,15,5.5,CV,1691256402
285,bor,56.3567,44.0669,295.11,64,21,1.66,RU,1691256402
286,red hill,33.9996,-79.2581,304.31,67,89,2.16,US,1691256403
287,yermentau,51.6214,73.1069,292.86,77,95,1.38,KZ,1691256403
288,selfoss,63.9331,-20.9971,288.17,73,94,5.18,IS,1691256403
289,radomsko,51.0671,19.4448,290.22,94,100,5.01,PL,1691256404
290,hobyo,5.3505,48.5268,298.84,80,66,11.34,SO,1691256404
291,tidjikja,18.5564,-11.4271,315.1,8,55,3.37,MR,1691256404
292,undurkhaan,47.3194,110.6556,286.11,94,44,2.25,MN,1691256405
293,khash,28.2211,61.2158,304.65,10,29,3.26,IR,1691256405
294,newcastle,-32.9272,151.7765,289.1,94,40,4.63,AU,1691256371
295,tara,56.8944,74.371,292.42,81,99,3.28,RU,1691256405
296,peniche,39.3558,-9.3811,304.31,55,0,8.68,PT,1691256406
297,northam,51.0333,-4.2167,290.18,79,55,11.58,GB,1691256406
298,weisswasser,51.5167,14.6333,291.01,91,100,2.64,DE,1691256406
299,luzino,54.9481,73.0353,293.02,94,75,2.0,RU,1691256406
300,port said,31.2565,32.2841,302.14,61,0,3.09,EG,1691256407
301,tamiahua,21.2667,-97.45,304.9,58,12,2.75,MX,1691256407
302,champerico,14.3,-91.9167,308.45,62,66,1.72,GT,1691256407
303,bridgewater,44.3835,-64.5155,297.97,84,97,5.14,CA,1691256407
304,limon,10.0,-83.0333,303.18,79,40,1.54,CR,1691256408
305,vernon,50.2581,-119.2691,299.42,34,54,1.03,CA,1691256408
306,vilyuchinsk,52.9306,158.4028,286.3,86,0,3.63,RU,1691256408
307,same,-4.0667,37.7333,293.78,73,99,1.37,TZ,1691256409
308,serenje,-13.2325,30.2352,288.29,48,3,2.55,ZM,1691256409
309,peruibe,-24.32,-46.9983,299.27,50,0,2.35,BR,1691256309
310,as sulayyil,20.4607,45.5779,313.29,9,99,1.47,SA,1691256410
311,eydhafushi,5.1033,73.0708,301.12,78,91,4.58,MV,1691256148
312,cedeira,43.6797,-8.0209,293.86,85,81,3.76,ES,1691256410
313,nantucket,41.2835,-70.0995,300.23,68,75,5.66,US,1691256411
314,chinde,26.8418,88.0763,292.14,90,100,1.64,NP,1691256411
315,morococha,-11.5997,-76.1411,279.18,51,30,3.16,PE,1691256412
316,campos,-21.75,-41.3,300.18,61,0,5.66,BR,1691256412
317,jutai,-5.1833,-68.9,309.64,34,6,1.36,BR,1691256412
318,grand island,40.925,-98.342,301.12,64,0,2.57,US,1691256412
319,bata,1.8639,9.7658,297.87,79,99,5.72,GQ,1691256413
320,leava,-14.3,-178.1667,300.08,80,78,5.22,WF,1691256413
321,kerrville,30.0474,-99.1403,309.36,44,0,6.17,US,1691256309
322,barentu,15.1139,37.5928,298.05,69,96,4.13,ER,1691256413
323,nuku'alofa,-21.1333,-175.2,291.34,94,100,6.17,TO,1691256414
324,camapua,-19.5314,-54.0439,307.53,16,0,1.89,BR,1691256414
325,mthatha,-31.5889,28.7844,288.46,41,0,1.03,ZA,1691256414
326,pahrump,36.2083,-115.9839,308.85,9,0,1.34,US,1691256414
327,singkil,-7.9855,111.4161,295.29,92,5,1.79,ID,1691256415
328,kargat,55.1956,80.2811,291.62,56,84,3.98,RU,1691256415
329,uturoa,-16.7333,-151.4333,298.92,72,22,3.46,PF,1691256415
330,cold lake,54.4502,-110.2017,291.12,82,40,2.06,CA,1691256415
331,kiama,-34.6833,150.8667,286.69,84,100,1.34,AU,1691256416
332,nema,57.5067,50.5011,295.69,62,45,3.46,RU,1691256416
333,keminmaa,65.8596,24.8228,291.02,68,0,3.09,FI,1691256416
334,challapata,-18.9,-66.7667,285.64,14,0,3.47,BO,1691256416
335,dadukou,26.5479,101.7054,296.52,93,100,0.37,CN,1691256417
336,baiyin,36.5583,104.2081,298.27,37,25,1.92,CN,1691256417
337,grootfontein,-19.5667,18.1167,292.91,26,0,1.54,NA,1691256417
338,dankama,13.2978,7.7949,308.78,49,100,7.44,NG,1691256418
339,oodweyne,9.4092,45.064,301.18,36,92,9.09,SO,1691256418
340,neiva,2.9273,-75.2819,306.09,35,40,4.12,CO,1691256418
341,pariaman,-0.619,100.12,297.18,87,14,1.4,ID,1691256418
342,greenville,35.6127,-77.3663,302.24,72,83,0.89,US,1691256419
343,svilengrad,41.7667,26.2,308.23,27,0,7.13,BG,1691256419
344,abepura,-2.6333,140.5833,296.6,88,20,1.03,ID,1691256419
345,dubbo,-32.25,148.6167,280.22,93,40,4.12,AU,1691256302
346,vuktyl,63.8567,57.3094,292.9,87,90,3.57,RU,1691256420
347,paracuru,-3.41,-39.0306,300.99,53,87,7.42,BR,1691256420
348,port alfred,-33.5906,26.891,293.49,55,0,3.77,ZA,1691256420
349,borkum,53.5809,6.6915,289.79,90,100,6.57,DE,1691256420
350,road town,18.4167,-64.6167,306.2,58,40,6.17,VG,1691256421
351,la ronge,55.1001,-105.2842,295.29,56,40,5.14,CA,1691256421
352,lerwick,60.1545,-1.1494,286.15,69,98,0.79,GB,1691256421
353,kotlas,61.2611,46.6556,291.69,88,41,2.17,RU,1691256421
354,sibay,52.7181,58.6658,293.83,66,68,2.4,RU,1691256370
355,celestun,20.8667,-90.4,304.99,57,12,1.65,MX,1691256422
356,santa terezinha,-29.9002,-50.0904,291.87,85,81,2.33,BR,1691256422
357,hadibu,12.65,54.0333,299.3,76,33,7.75,YE,1691256422
358,yenangyaung,20.4667,94.8833,300.43,73,100,5.92,MM,1691256190
359,vorgashor,67.5833,63.95,291.99,54,0,3.29,RU,1691256423
360,anshan,41.1236,122.99,289.65,87,1,3.16,CN,1691256423
361,lisala,2.15,21.5167,298.96,71,60,1.29,CD,1691256424
362,egilsstadir,65.2653,-14.3948,287.1,47,40,6.17,IS,1691256424
363,prince rupert,54.3161,-130.3201,292.2,78,100,1.54,CA,1691256424
